Country,Year,Arabica Production,Bean Exports,Bean Imports,Beginning Stocks,Domestic Consumption,Ending Stocks,Exports,Imports,Other Production,Production,Roast & Ground Exports,Roast & Ground Imports,Robusta Production,"Rst,Ground Dom. Consum",Soluble Dom. Cons.,Soluble Exports,Soluble Imports,Total Distribution,Total Supply,id
Albania,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ALB
Algeria,2003,0,0,1960,0,1970,0,0,1970,0,0,0,0,0,1960,10,0,10,1970,1970,DZA
Angola,2003,0,13,0,30,15,40,13,0,0,38,0,0,38,15,0,0,0,68,68,AGO
Argentina,2003,0,0,510,0,672,0,0,672,0,0,0,2,0,512,160,0,160,672,672,ARG
Armenia,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARM
Australia,2003,0,0,735,0,915,0,0,915,0,0,0,35,0,770,145,0,145,915,915,AUS
Benin,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BEN
Bolivia,2003,125,65,0,170,80,150,65,0,0,125,0,0,0,80,0,0,0,295,295,BOL
Bosnia and Herzegovina,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BIH
Brazil,2003,23600,21840,0,17939,14400,11819,24920,0,0,33200,50,0,9600,13600,800,3030,0,51139,51139,BRA
Burundi,2003,338,350,0,296,2,282,350,0,0,338,0,0,0,2,0,0,0,634,634,BDI
Cameroon,2003,99,700,0,20,75,145,700,0,0,900,0,0,801,70,5,0,0,920,920,CMR
Canada,2003,0,0,1990,0,2500,0,0,2500,0,0,0,500,0,2490,10,0,10,2500,2500,CAN
Central African Republic,2003,0,25,0,283,25,258,25,0,0,25,0,0,25,25,0,0,0,308,308,CAF
Chile,2003,0,0,220,0,220,0,0,220,0,0,0,0,0,220,0,0,0,220,220,CHL
China,2003,386,256,240,0,156,0,529,299,0,386,5,18,0,115,41,268,41,685,685,CHN
Colombia,2003,11053,9484,5,1437,1335,1131,10049,25,0,11053,15,20,0,1080,255,550,0,12515,12515,COL
Congo (Brazzaville),2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Congo (Kinshasa),2003,55,249,0,226,200,127,249,0,0,350,0,0,295,200,0,0,0,576,576,
Costa Rica,2003,2106,1829,2,200,278,200,1839,11,0,2106,9,0,0,269,9,1,9,2317,2317,CRI
Cote d'Ivoire,2003,0,2376,0,700,500,267,2622,0,0,2689,0,0,2689,500,0,246,0,3389,3389,
Croatia,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HRV
Cuba,2003,224,30,0,181,243,132,30,0,0,224,0,0,0,243,0,0,0,405,405,CUB
Dominican Republic,2003,351,46,0,200,500,5,46,0,0,351,0,0,0,500,0,0,0,551,551,DOM
Ecuador,2003,387,208,167,29,297,34,628,238,0,692,1,0,305,66,231,419,71,959,959,ECU
Egypt,2003,0,0,50,0,50,0,0,50,0,0,0,0,0,50,0,0,0,50,50,EGY
El Salvador,2003,1343,1350,35,2,139,5,1353,152,0,1343,1,1,0,23,116,2,116,1497,1497,SLV
Equatorial Guinea,2003,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,2,2,GNQ
Ethiopia,2003,3875,2200,0,428,1800,303,2200,0,0,3875,0,0,0,1800,0,0,0,4303,4303,ETH
European Union,2003,0,0,41860,12450,40705,13000,830,42085,0,0,830,0,0,38865,1840,0,225,54535,54535,
Gabon,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GAB
Georgia,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GEO
Ghana,2003,0,17,0,6,1,5,17,0,0,17,0,0,17,1,0,0,0,23,23,GHA
Guatemala,2003,3644,3314,50,37,524,20,3314,150,0,3671,0,0,27,424,100,0,100,3858,3858,GTM
Guinea,2003,0,346,0,116,50,86,346,0,0,366,0,0,366,50,0,0,0,482,482,GIN
Guyana,2003,3,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,3,GUY
Haiti,2003,350,34,0,163,340,139,34,0,0,350,0,0,0,340,0,0,0,513,513,HTI
Honduras,2003,2968,2794,0,110,194,100,2794,10,0,2968,0,0,0,184,10,0,10,3088,3088,HND
India,2003,2073,2985,172,1059,1085,829,3825,172,0,4508,0,0,2435,910,175,840,0,5739,5739,IND
Indonesia,2003,650,5600,75,131,1601,113,5808,141,0,7250,58,16,6600,1551,50,150,50,7522,7522,IDN
Iran,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IRN
Jamaica,2003,37,27,0,17,10,17,27,0,0,37,0,0,0,10,0,0,0,54,54,JAM
Jordan,2003,0,0,150,0,155,0,0,155,0,0,0,0,0,150,5,0,5,155,155,JOR
Kazakhstan,2003,0,0,0,0,125,0,0,125,0,0,0,0,0,0,125,0,125,125,125,KAZ
Kenya,2003,845,884,0,307,23,250,884,3,0,847,0,0,2,20,3,0,3,1157,1157,KEN
"Korea, South",2003,0,0,1310,0,1325,0,0,1325,0,0,0,15,0,1325,0,0,0,1325,1325,
Kosovo,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Laos,2003,0,267,0,0,197,0,267,0,0,464,0,0,464,197,0,0,0,464,464,LAO
Liberia,2003,0,61,0,0,5,0,61,0,0,66,0,0,66,5,0,0,0,66,66,LBR
Madagascar,2003,27,122,0,322,334,301,122,0,0,435,0,0,408,334,0,0,0,757,757,MDG
Malawi,2003,48,47,0,1,1,1,47,0,0,48,0,0,0,1,0,0,0,49,49,MWI
Malaysia,2003,0,0,365,0,125,0,1240,365,0,1000,0,0,1000,0,125,1240,0,1365,1365,MYS
Mexico,2003,4200,2100,150,0,1983,11,2470,164,0,4300,20,14,100,1083,900,350,0,4464,4464,MEX
Montenegro,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MNE
Morocco,2003,0,0,500,0,550,0,0,550,0,0,0,50,0,550,0,0,0,550,550,MAR
New Caledonia,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NCL
New Zealand,2003,0,0,100,0,250,0,0,250,0,0,0,25,0,125,125,0,125,250,250,NZL
Nicaragua,2003,1547,1382,50,42,223,24,1412,70,0,1547,0,0,0,203,20,30,20,1659,1659,NIC
Nigeria,2003,0,1,0,38,46,33,1,6,0,36,0,0,36,40,6,0,6,80,80,NGA
North Macedonia,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MKD
Norway,2003,0,0,600,0,710,0,0,710,0,0,0,40,0,640,70,0,70,710,710,NOR
Panama,2003,172,105,0,62,100,29,105,0,0,172,0,0,0,100,0,0,0,234,234,PAN
Papua New Guinea,2003,755,1151,0,385,25,21,1152,0,0,813,1,0,58,25,0,0,0,1198,1198,PNG
Paraguay,2003,52,38,0,89,35,68,38,0,0,52,0,0,0,35,0,0,0,141,141,PRY
Peru,2003,2870,2685,0,20,200,5,2685,0,0,2870,0,0,0,70,130,0,0,2890,2890,PER
Philippines,2003,35,4,180,230,1165,101,4,350,25,690,0,0,630,100,1065,0,170,1270,1270,PHL
Russia,2003,0,0,390,0,4065,0,0,4065,0,0,0,100,0,490,3575,0,3575,4065,4065,
Rwanda,2003,266,267,0,96,1,94,267,0,0,266,0,0,0,1,0,0,0,362,362,RWA
Saudi Arabia,2003,0,0,475,0,485,0,0,485,0,0,0,10,0,485,0,0,0,485,485,SAU
Senegal,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SEN
Serbia,2003,0,0,720,0,740,0,0,740,0,0,0,0,0,720,20,0,20,740,740,SRB
Sierra Leone,2003,0,29,0,30,5,30,29,0,0,34,0,0,34,5,0,0,0,64,64,SLE
Singapore,2003,0,0,200,0,200,0,0,200,0,0,0,0,0,200,0,0,0,200,200,SGP
South Africa,2003,0,0,360,0,360,0,0,360,0,0,0,0,0,360,0,0,0,360,360,ZAF
Sri Lanka,2003,10,8,0,22,30,21,8,0,0,37,0,0,27,30,0,0,0,59,59,LKA
Switzerland,2003,0,0,1090,0,1005,0,85,1090,0,0,85,0,0,1005,0,0,0,1090,1090,CHE
Taiwan,2003,0,0,160,0,180,0,0,180,0,0,0,20,0,180,0,0,0,180,180,TWN
Tanzania,2003,379,600,0,207,100,109,610,0,0,612,0,0,233,100,0,10,0,819,819,TZA
Thailand,2003,0,339,0,120,500,98,349,0,0,827,0,0,827,200,300,10,0,947,947,THA
Togo,2003,0,152,0,50,2,40,152,0,0,144,0,0,144,2,0,0,0,194,194,TGO
Trinidad and Tobago,2003,1,0,0,0,9,0,7,0,0,16,7,0,15,9,0,0,0,16,16,TTO
Turkey,2003,0,0,210,0,220,0,0,220,0,0,0,10,0,220,0,0,0,220,220,
Uganda,2003,524,2520,0,82,120,187,2520,0,0,2745,0,0,2221,120,0,0,0,2827,2827,UGA
Ukraine,2003,0,0,80,0,825,0,0,825,0,0,0,120,0,200,625,0,625,825,825,UKR
United Kingdom,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GBR
United States,2003,186,0,20340,6100,22086,5620,0,21420,0,186,0,100,0,21106,980,0,980,27706,27706,USA
Uruguay,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,URY
Venezuela,2003,825,150,5,528,700,475,185,7,0,825,35,2,0,690,10,0,0,1360,1360,VEN
Vietnam,2003,266,14000,0,333,550,708,14075,0,0,15000,25,0,14734,525,25,50,0,15333,15333,VNM
Yemen,2003,193,35,0,0,147,0,46,0,0,193,11,0,0,147,0,0,0,193,193,YEM
Yemen (Sanaa),2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Zambia,2003,100,100,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,100,100,ZMB
Zimbabwe,2003,92,88,0,37,4,37,88,0,0,92,0,0,0,4,0,0,0,129,129,ZWE
